,PIN,Sex.x,Region,Year,Major,Grade,IndGrd2,Academic.Interest.1,Academic.Interest.2,SAT,HSG
426,N345115408225,M,Southeast Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",82.51940806,84.2404212525,"Philosophy, Politics and Economics",Global Affairs,NA,NA
427,N346115405225,M,Singapore,ay1617,DDP LAW,87.92355422,86.6599671725,Psychology,Undecided,NA,NA
428,N347115401225,M,Singapore,ay1617,PSYCHOLOGY,82.03034983,81.89437337,Psychology,Undecided,NA,NA
429,N349115425225,F,East Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",78.08628151,70.441045295,Life Sciences,"Philosophy, Politics and Economics",730,NA
430,N350115414225,M,Southeast Asia,ay1617,ECONOMICS,86.55246929,93.4784734,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",780,NA
431,N351115413225,F,North America,ay1617,ECONOMICS,68.74229376,70.052783645,"Mathematical, Computational and Statistical Sciences",NA,760,NA
432,N352115412225,M,Singapore,ay1617,ECONOMICS,78.79309333,79.5311936025,Economics,Physical Sciences,NA,NA
433,N353115410225,F,North America,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",78.73259915,74.61047169,"Mathematical, Computational and Statistical Sciences",Global Affairs,660,NA
434,N354115408225,F,North America,ay1617,PHILOSOPHY,76.37738256,69.33381185,Global Affairs,"Philosophy, Politics and Economics",690,C
435,N355115405225,M,South Asia,ay1617,ECONOMICS,77.60754465,79.5796317675,Environmental Studies,Economics,780,NA
436,N356115401225,M,Other,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",85.30005403,84.723778515,Physical Sciences,Anthropology,750,NA
437,N309115413240,F,Singapore,ay1617,ANTHROPOLOGY,72.78267116,59.112588745,Anthropology,Undecided,NA,NA
438,N310115401240,F,East Asia,ay1617,LIFE SCIENCES,85.79036348,83.14110455,Life Sciences,Physical Sciences,800,A
439,N312115425240,M,Singapore,ay1617,ENVIRONMENTAL STUDIES,83.72764738,84.73070207,Environmental Studies,Physical Sciences,NA,NA
440,N305115413244,M,Singapore,ay1617,GLOBAL AFFAIRS,76.3662281,74.075276025,Global Affairs,Undecided,NA,NA
441,N333115408255,M,Singapore,ay1617,ENVIRONMENTAL STUDIES,81.54422909,81.3180341775,Global Affairs,Economics,NA,NA
442,N336115405262,M,Singapore,ay1617,PSYCHOLOGY,82.75353371,79.199080455,Psychology,Literature,NA,NA
443,N337115401262,M,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",83.14027049,78.8194023725,Literature,Philosophy,NA,NA
444,N338115402262,F,Singapore,ay1617,LITERATURE,79.1745172,78.09536013,Undecided,Urban Studies,NA,A
445,N339115425262,M,Singapore,ay1617,HISTORY,79.32505174,78.58077192,Economics,"Philosophy, Politics and Economics",720,A
446,N340115414262,M,Singapore,ay1617,LITERATURE,75.53484698,71.3493500775,Literature,Arts & Humanities,NA,NA
447,N341115413262,M,Singapore,ay1617,ARTS AND HUMANITIES,83.63791604,87.9633238875,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA
448,N342115412262,M,Singapore,ay1617,URBAN STUDIES,86.45350345,89.5499563175,"Mathematical, Computational and Statistical Sciences",Psychology,NA,NA
449,N343115410262,F,Singapore,ay1617,DDP LAW,77.45169919,74.916168095,Economics,Global Affairs,NA,A
450,N344115408262,F,Singapore,ay1617,URBAN STUDIES,83.55362341,85.4477047775,Urban Studies,Undecided,NA,NA
451,N345115405262,F,Singapore,ay1617,URBAN STUDIES,72.51209479,70.90020207,Urban Studies,Environmental Studies,NA,A
452,N346115401262,F,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",73.96853571,70.041166275,"Philosophy, Politics and Economics",Global Affairs,NA,NA
453,N347115402262,F,Singapore,ay1617,ANTHROPOLOGY,73.57759755,73.0750403525,Philosophy,"Philosophy, Politics and Economics",NA,NA
454,N348115425262,M,Singapore,ay1617,DDP LAW,80.61711622,80.202737635,Arts & Humanities,"Philosophy, Politics and Economics",NA,NA
455,N350115413262,M,Singapore,ay1617,LITERATURE,79.67038008,81.391431365,Literature,Anthropology,NA,NA
456,N351115412262,M,Singapore,ay1617,DDP LAW,88.99272376,93.0834734575,Psychology,"Philosophy, Politics and Economics",NA,NA
457,N352115410262,F,Singapore,ay1617,PHILOSOPHY,72.98690726,72.540408145,"Philosophy, Politics and Economics",Arts & Humanities,NA,A
458,N353115408262,M,Singapore,ay1617,ENVIRONMENTAL STUDIES,84.19361446,85.2078853675,Psychology,Physical Sciences,NA,NA
459,N354115405262,M,Singapore,ay1617,PSYCHOLOGY,85.41070927,89.248388535,Psychology,Physical Sciences,NA,B
460,N355115401262,M,Singapore,ay1617,ARTS AND HUMANITIES,79.09730241,79.6417163,Literature,Arts & Humanities,NA,NA
461,N356115402262,M,Singapore,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",84.55727807,90.4168300225,"Philosophy, Politics and Economics",Global Affairs,NA,NA
462,N357115425262,F,Singapore,ay1617,DDP LAW,73.93495275,69.8967800775,Global Affairs,Urban Studies,NA,B
463,N358115424262,M,Singapore,ay1617,PHILOSOPHY,88.72992948,88.42644108,Economics,Philosophy,NA,NA
464,N359115423262,M,Singapore,ay1617,DDP LAW,81.22579829,81.0805144525,Literature,"Philosophy, Politics and Economics",NA,NA
465,N360115412262,F,Singapore,ay1617,PHILOSOPHY,74.7977115,75.11247879,Economics,Global Affairs,NA,B
466,N361115410262,M,Singapore,ay1617,PSYCHOLOGY,75.12883933,74.6874521825,Psychology,Anthropology,NA,NA
467,N362115408262,M,Singapore,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.39803863,89.6218263925,Literature,Undecided,800,NA
468,N363115405262,F,Singapore,ay1617,PSYCHOLOGY,82.38981274,80.125303435,Psychology,Anthropology,NA,A
469,N364115401262,M,Singapore,ay1617,ENVIRONMENTAL STUDIES,88.85389028,91.4215729025,Environmental Studies,Global Affairs,NA,NA
470,N365115402262,F,Singapore,ay1617,URBAN STUDIES,74.77789602,73.2941407675,Arts & Humanities,Economics,NA,A
471,N366115425262,F,Singapore,ay1617,ARTS AND HUMANITIES,67.13947573,74.525369245,Philosophy,Literature,NA,A
472,N367115424262,F,Singapore,ay1617,LITERATURE,68.37554092,59.0471094875,Arts & Humanities,Global Affairs,NA,A
473,N368115423262,M,Singapore,ay1617,PHILOSOPHY,77.56676698,76.44326915,Psychology,"Philosophy, Politics and Economics",NA,NA
474,N369115421262,F,East Asia,ay1617,URBAN STUDIES,87.73167761,90.3035336825,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences",800,NA
475,N370115410262,M,Singapore,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",84.24992076,88.4873084425,"Philosophy, Politics and Economics",Literature,NA,NA
476,N371115408262,M,Southeast Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",75.65204269,68.4738623175,"Philosophy, Politics and Economics",Undecided,NA,C
477,N372115405262,F,Singapore,ay1617,ENVIRONMENTAL STUDIES,87.03276396,88.7577462725,NA,Arts & Humanities,800,A
478,N374115402262,F,Singapore,ay1617,ARTS AND HUMANITIES,75.53960124,70.3106895725,Urban Studies,Life Sciences,NA,A
479,N375115425262,M,Singapore,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",82.56481156,80.476732955,"Philosophy, Politics and Economics",Economics,NA,NA
480,N376115424262,M,Singapore,ay1617,LITERATURE,75.04838723,73.0351265625,History,Literature,NA,NA
481,N377115423262,F,Singapore,ay1617,GLOBAL AFFAIRS,75.30256053,72.9990010275,"Philosophy, Politics and Economics",Global Affairs,NA,NA
482,N378115421262,F,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",81.90524753,77.3053804075,Economics,Arts & Humanities,NA,C
483,N379115418262,M,Singapore,ay1617,PHILOSOPHY,75.49488313,73.5387094825,Global Affairs,"Philosophy, Politics and Economics",NA,NA
484,N380115408262,F,Singapore,ay1617,DDP LAW,82.70048273,85.24749674,Undecided,Undecided,NA,A
485,N381115405262,F,Singapore,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",79.15664469,75.612372955,"Mathematical, Computational and Statistical Sciences",Global Affairs,800,A
486,N383115402262,M,Singapore,ay1617,ECONOMICS,86.91090462,87.795793505,Economics,Environmental Studies,NA,NA
487,N384115425262,M,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",80.18857091,78.0727211575,"Philosophy, Politics and Economics",Global Affairs,760,B
488,N385115424262,F,Singapore,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",80.82346102,84.6027550175,Economics,Global Affairs,NA,A
489,N386115423262,M,Singapore,ay1617,LITERATURE,82.49726512,81.7507002925,Literature,Arts & Humanities,NA,NA
490,N387115421262,F,Singapore,ay1617,URBAN STUDIES,72.8257382,70.899173265,Literature,Global Affairs,NA,A
491,N388115418262,F,Singapore,ay1617,PSYCHOLOGY,83.14528527,84.850690745,Psychology,Economics,760,NA
492,N389115414262,M,Singapore,ay1617,PHYSICAL SCIENCES,86.53574265,85.4513070375,Physical Sciences,Philosophy,NA,NA
493,N390115405262,M,East Asia,ay1617,ECONOMICS,82.69046341,80.9957940725,"Philosophy, Politics and Economics",Economics,NA,NA
494,N332115412272,F,Singapore,ay1617,PSYCHOLOGY,72.69721738,65.04740309,Psychology,Global Affairs,NA,A
495,N318115402282,F,Singapore,ay1617,GLOBAL AFFAIRS,71.64074885,60.8827128475,Global Affairs,History,NA,A
496,N319115424283,F,Singapore,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",76.73441856,76.5874935675,"Philosophy, Politics and Economics",Undecided,NA,B
497,N391116401207,F,Singapore,ay1617,ECONOMICS,71.64780249,62.41666561,Arts & Humanities,Literature,NA,A
498,N393116425207,M,Singapore,ay1617,ARTS AND HUMANITIES,85.30351181,82.158733275,Arts & Humanities,Anthropology,NA,NA
499,N394116424207,F,Southeast Asia,ay1617,ANTHROPOLOGY,75.97365663,76.486370085,Psychology,"Philosophy, Politics and Economics",NA,NA
500,N395116423207,F,Singapore,ay1617,GLOBAL AFFAIRS,68.83767625,55.9992267575,Literature,Arts & Humanities,NA,A
501,N396116421207,M,Singapore,ay1617,DDP LAW,84.99638863,86.830196215,Arts & Humanities,"Philosophy, Politics and Economics",780,NA
502,N397116418207,M,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",70.17466963,65.8262073175,Economics,"Philosophy, Politics and Economics",NA,NA
503,N398116414207,M,Singapore,ay1617,HISTORY,77.03445792,77.021559875,History,Psychology,NA,NA
504,N399116413207,F,Singapore,ay1617,LITERATURE,69.38148812,61.039962625,Global Affairs,Arts & Humanities,NA,NA
505,N301116421208,M,Singapore,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",90.15654014,90.9052085975,Economics,"Mathematical, Computational and Statistical Sciences",NA,NA
506,N303116414208,F,Singapore,ay1617,ARTS AND HUMANITIES,67.8273881,64.961129415,Arts & Humanities,Undecided,NA,NA
507,N304116413208,F,Singapore,ay1617,ENVIRONMENTAL STUDIES,80.73789669,82.8897076425,Literature,Environmental Studies,790,NA
508,N305116412208,M,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",80.67286869,77.29380278,Global Affairs,"Philosophy, Politics and Economics",NA,NA
509,N306116410208,F,Singapore,ay1617,GLOBAL AFFAIRS,76.20873469,71.9992805625,Literature,Psychology,NA,NA
510,N307116408208,F,Singapore,ay1617,ANTHROPOLOGY,78.64211088,80.5795082225,Global Affairs,History,NA,NA
511,N308116405208,M,Singapore,ay1617,DDP LAW,85.95681585,90.58742593,Urban Studies,Anthropology,780,NA
512,N309116401208,M,South Asia,ay1617,ENVIRONMENTAL STUDIES,71.62790205,74.7556983425,Environmental Studies,"Philosophy, Politics and Economics",770,NA
513,N310116421208,F,Singapore,ay1617,HISTORY,78.58979406,75.6582708325,Anthropology,Literature,760,NA
514,N311116418208,F,Singapore,ay1617,ANTHROPOLOGY,74.54267808,69.2788760675,"Philosophy, Politics and Economics",Global Affairs,NA,A
515,N312116414208,M,Singapore,ay1617,ARTS AND HUMANITIES,83.97301269,88.775510395,"Philosophy, Politics and Economics",Psychology,NA,NA
516,N313116413208,M,Southeast Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.91192385,86.42771156,Economics,"Philosophy, Politics and Economics",NA,NA
517,N324116421212,F,Singapore,ay1617,LIFE SCIENCES,74.70350819,72.1219827275,Life Sciences,Arts & Humanities,NA,NA
518,N325116418212,F,Singapore,ay1617,ENVIRONMENTAL STUDIES,70.50606923,61.472996635,Global Affairs,"Philosophy, Politics and Economics",NA,NA
519,N336116408215,F,East Asia,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",78.74912827,76.063839405,Economics,Anthropology,NA,NA
520,N337116405215,M,Singapore,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.26928979,81.9090182425,Physical Sciences,"Mathematical, Computational and Statistical Sciences",NA,NA
521,N338116401215,F,Singapore,ay1617,DDP LAW,80.41593662,78.666996665,"Philosophy, Politics and Economics",Literature,NA,NA
522,N339116402215,F,Southeast Asia,ay1617,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",76.669592,77.55237297,Arts & Humanities,Physical Sciences,780,NA
523,N340116418215,F,Singapore,ay1617,PSYCHOLOGY,70.75701479,69.066224395,Arts & Humanities,Psychology,NA,NA
524,N341116414215,F,Singapore,ay1617,ANTHROPOLOGY,81.87284814,83.996705085,Psychology,Anthropology,NA,NA
525,N342116413215,F,Singapore,ay1617,ARTS AND HUMANITIES,76.35703588,79.60875,Environmental Studies,Urban Studies,NA,NA
526,N343116412215,F,Singapore,ay1617,PSYCHOLOGY,73.84318678,68.23287629,Literature,Psychology,790,NA
527,N335116405217,M,Other,ay1617,ENVIRONMENTAL STUDIES,78.7603016,77.931616,Environmental Studies,Life Sciences,660,NA
528,N337116402217,F,Singapore,ay1617,ANTHROPOLOGY,72.58670707,72.79502861,Philosophy,Psychology,NA,NA
529,N300116408220,F,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",69.61578303,67.7379864025,Global Affairs,History,NA,NA
530,N330116424222,F,Singapore,ay1617,"PHILOSOPHY, POLITICS AND ECONOMICS",72.85594307,70.62725035,Global Affairs,"Philosophy, Politics and Economics",NA,C
531,N377116425223,F,Singapore,ay1617,ENVIRONMENTAL STUDIES,66.23805196,63.794162745,Urban Studies,Anthropology,NA,NA
532,N349111425274,M,Singapore,ay1718,PHYSICAL SCIENCES,82.17892062,92.03194131,Physical Sciences,"Philosophy, Politics and Economics",NA,A
533,N343112414217,M,Singapore,ay1718,PHILOSOPHY,77.96279024,87.0910116975,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA
534,N373113405290,M,Singapore,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",79.83107517,90.2917562125,"Philosophy, Politics and Economics",Global Affairs,NA,A
535,N378114401240,M,Singapore,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",71.93820246,72.5561146975,Global Affairs,Arts & Humanities,NA,A
536,N350114423299,M,Southeast Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.12458192,89.6071336825,Physical Sciences,Physical Sciences,NA,A
537,N398114424299,F,Singapore,ay1718,DDP LAW,69.26628835,63.1394081625,Urban Studies,"Philosophy, Politics and Economics",NA,A
538,N301115412200,F,Singapore,ay1718,ENVIRONMENTAL STUDIES,81.64738017,83.079085345,Urban Studies,Physical Sciences,NA,A
539,N335115424200,F,Singapore,ay1718,URBAN STUDIES,81.37694677,84.0034622175,Psychology,Global Affairs,790,A
540,N333116413206,M,Singapore,ay1718,ECONOMICS,72.65589958,67.805039995,Economics,Environmental Studies,750,NA
541,N338116402207,F,Singapore,ay1718,ANTHROPOLOGY,86.45332749,90.8869694125,Psychology,Arts & Humanities,NA,NA
542,N317116424248,M,Singapore,ay1718,HISTORY,72.47670048,70.41815150875,Psychology,History,NA,NA
543,N372116401280,M,Singapore,ay1718,NA,83.28568703,90.7482191025,Anthropology,Physical Sciences,800,A
544,N378116402288,M,Singapore,ay1718,ANTHROPOLOGY,74.85864683,69.839695565,History,"Philosophy, Politics and Economics",720,NA
545,N321116401295,M,Singapore,ay1718,ECONOMICS,72.16488674,75.3487176225,Economics,Environmental Studies,740,NA
546,N322116402295,F,Singapore,ay1718,ENVIRONMENTAL STUDIES,70.61054709,66.08187029,Anthropology,Global Affairs,NA,NA
547,N323116425295,M,Singapore,ay1718,PSYCHOLOGY,75.52980822,75.171857945,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA
548,N324116424295,M,Singapore,ay1718,ANTHROPOLOGY,65.77432692,67.9464282425,Psychology,Arts & Humanities,NA,NA
549,N325116423295,F,Singapore,ay1718,HISTORY,79.46018487,82.21857312,Global Affairs,History,NA,NA
550,N327116418295,F,Singapore,ay1718,PHYSICAL SCIENCES,78.61161536,76.835327555,Undecided,Undecided,NA,NA
551,N328116414295,M,Singapore,ay1718,PSYCHOLOGY,73.75370921,70.17985124,History,Environmental Studies,NA,NA
552,N329116413295,F,Singapore,ay1718,ANTHROPOLOGY,70.6614853,67.5280011725,Life Sciences,Life Sciences,800,NA
553,N397116401295,F,Singapore,ay1718,DDP LAW,74.94442064,67.49974109,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA
554,N398116402295,F,Singapore,ay1718,GLOBAL AFFAIRS,62.32669696,53.47355133,Arts & Humanities,Literature,NA,NA
555,N399116425295,M,Singapore,ay1718,URBAN STUDIES,78.80081588,73.9048294375,Global Affairs,"Philosophy, Politics and Economics",NA,NA
556,N300116408296,F,Singapore,ay1718,DDP LAW,68.97856067,65.88577501,Arts & Humanities,Anthropology,NA,NA
557,N301116405296,F,Southeast Asia,ay1718,GLOBAL AFFAIRS,65.70324359,63.15796011,Global Affairs,"Philosophy, Politics and Economics",NA,B
558,N302116401296,M,South Asia,ay1718,ENVIRONMENTAL STUDIES,69.18006524,65.94380456,Global Affairs,Arts & Humanities,790,NA
559,N303116402296,M,Singapore,ay1718,DDP LAW,73.75223723,74.08712169625,Undecided,Undecided,NA,NA
560,N304116425296,F,Singapore,ay1718,ARTS AND HUMANITIES,79.46231582,80.4258916775,Arts & Humanities,Undecided,NA,NA
561,N305116424296,M,Southeast Asia,ay1718,ECONOMICS,74.0333099,75.194732435,Economics,Global Affairs,790,NA
562,N307116421296,F,Singapore,ay1718,DDP LAW,74.44626041,74.00574593,Psychology,"Philosophy, Politics and Economics",NA,NA
563,N308116418296,M,Other,ay1718,LITERATURE,56.10561781,49.04868187,"Philosophy, Politics and Economics",Global Affairs,630,NA
564,N309116414296,M,Singapore,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",76.52862793,75.98504101,Global Affairs,History,NA,NA
565,N310116405296,M,South Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",76.52911072,82.6669742075,Economics,"Mathematical, Computational and Statistical Sciences",730,NA
566,N311116401296,M,Singapore,ay1718,ANTHROPOLOGY,70.44815994,63.067674915,Anthropology,Economics,NA,C
567,N312116402296,F,Singapore,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",71.03515791,65.695467845,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA
568,N313116425296,F,Singapore,ay1718,ECONOMICS,71.64727833,69.0483819725,Economics,"Mathematical, Computational and Statistical Sciences",NA,NA
569,N315116423296,F,Singapore,ay1718,NA,71.79317824,64.6078995225,Urban Studies,Psychology,NA,NA
570,N317116418296,M,Singapore,ay1718,GLOBAL AFFAIRS,73.29036099,72.1045810175,Economics,"Mathematical, Computational and Statistical Sciences",NA,NA
571,N319116413296,M,North America,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",76.07350718,86.6406312025,"Philosophy, Politics and Economics",Global Affairs,740,NA
572,N320116401296,M,Other,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",82.8474659,85.0994326125,Economics,Economics,800,A
573,N321116402296,M,South Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",63.45757889,61.4854659925,Physical Sciences,Physical Sciences,780,NA
574,N322116425296,F,Southeast Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",77.34796274,77.1371402725,Economics,Environmental Studies,740,NA
575,N323116424296,M,Singapore,ay1718,HISTORY,69.29838955,66.79252149,"Philosophy, Politics and Economics",Anthropology,710,NA
576,N324116423296,F,Singapore,ay1718,ANTHROPOLOGY,75.96116826,73.433984205,Anthropology,Undecided,690,NA
577,N325116421296,M,Singapore,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.31969961,86.1181193575,Economics,"Mathematical, Computational and Statistical Sciences",800,NA
578,N326116418296,F,Singapore,ay1718,PSYCHOLOGY,68.47655928,72.5308177775,Psychology,Economics,NA,NA
579,N327116414296,F,Singapore,ay1718,URBAN STUDIES,71.69047237,66.2517127125,Global Affairs,Psychology,NA,B
580,N328116413296,M,Singapore,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",67.55420679,59.38690968,Anthropology,Arts & Humanities,680,NA
581,N329116412296,F,Singapore,ay1718,ARTS AND HUMANITIES,65.54708852,61.80269512,Anthropology,Anthropology,NA,NA
582,N330116402296,F,South Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",75.43039594,78.2274291525,"Mathematical, Computational and Statistical Sciences",Undecided,790,NA
583,N331116425296,F,Singapore,ay1718,GLOBAL AFFAIRS,71.82966164,72.4612774625,Global Affairs,"Philosophy, Politics and Economics",NA,NA
584,N332116424296,M,Singapore,ay1718,HISTORY,80.94594368,83.565790485,Economics,"Philosophy, Politics and Economics",NA,NA
585,N333116423296,F,Singapore,ay1718,URBAN STUDIES,68.05665924,70.7273571525,Anthropology,NA,730,B
586,N334116421296,M,South Asia,ay1718,URBAN STUDIES,62.88132446,62.7766495525,Global Affairs,Economics,700,NA
587,N335116418296,M,Southeast Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",73.5510569,78.6254995025,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",NA,NA
588,N336116414296,M,Singapore,ay1718,ENVIRONMENTAL STUDIES,74.87832417,77.217584735,NA,Environmental Studies,800,NA
589,N337116413296,F,Singapore,ay1718,URBAN STUDIES,76.15501772,81.0281273775,Arts & Humanities,History,NA,NA
590,N338116412296,M,Singapore,ay1718,LITERATURE,70.02237505,69.478323655,Literature,Arts & Humanities,NA,NA
591,N339116410296,F,Singapore,ay1718,URBAN STUDIES,66.88133575,60.1225450375,Philosophy,Literature,NA,NA
592,N340116425296,M,South Asia,ay1718,PHYSICAL SCIENCES,74.4688921,74.5417749725,"Mathematical, Computational and Statistical Sciences",Physical Sciences,800,NA
593,N341116424296,F,Singapore,ay1718,LITERATURE,73.58403801,78.4250329125,Undecided,Arts & Humanities,NA,NA
594,N337117410203,M,South Asia,ay1718,ECONOMICS,66.44308283,67.5097339875,Economics,Psychology,720,NA
595,N338117408203,M,South Asia,ay1718,ECONOMICS,79.7548435,80.4420904475,Economics,"Mathematical, Computational and Statistical Sciences",760,NA
596,N339117405203,F,East Asia,ay1718,LIFE SCIENCES,78.86053385,81.37361438,Global Affairs,Life Sciences,750,A
597,N340117423203,F,Southeast Asia,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",80.00463241,77.452658495,"Philosophy, Politics and Economics",Urban Studies,760,B
598,N341117421203,M,South Asia,ay1718,ECONOMICS,78.50753619,78.1780849125,Economics,Life Sciences,750,A
599,N342117418203,M,North America,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",74.70147315,74.0006480975,Physical Sciences,Economics,730,NA
600,N343117414203,M,East Asia,ay1718,ENVIRONMENTAL STUDIES,74.66900832,71.61595073,Economics,"Philosophy, Politics and Economics",800,A
601,N344117413203,M,East Asia,ay1718,NA,71.73540682,67.4890870025,Psychology,"Mathematical, Computational and Statistical Sciences",800,B
602,N345117412203,M,Singapore,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.8210335,86.7155812325,"Mathematical, Computational and Statistical Sciences",Physical Sciences,740,NA
603,N346117410203,F,Singapore,ay1718,URBAN STUDIES,84.70364821,85.3734455325,Global Affairs,"Philosophy, Politics and Economics",800,NA
604,N348117405203,F,Europe,ay1718,LIFE SCIENCES,70.50012451,66.47158599,Life Sciences,Environmental Studies,700,NA
605,N349117401203,F,Singapore,ay1718,URBAN STUDIES,70.0147248,69.7973410175,Life Sciences,Psychology,690,A
606,N350117421203,F,Other,ay1718,PSYCHOLOGY,78.76705628,79.8077544125,"Philosophy, Politics and Economics",Psychology,780,NA
607,N351117418203,F,East Asia,ay1718,PHYSICAL SCIENCES,81.67677744,85.0718002075,Environmental Studies,Urban Studies,780,A
608,N352117414203,F,Other,ay1718,LIFE SCIENCES,66.80690716,65.19130523,Physical Sciences,Psychology,680,NA
609,N353117413203,M,Other,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",67.65802125,60.44359374,Economics,"Philosophy, Politics and Economics",730,NA
610,N354117412203,F,Other,ay1718,PSYCHOLOGY,73.5492974,63.7283436475,"Philosophy, Politics and Economics",Economics,770,NA
611,N355117410203,F,North America,ay1718,LIFE SCIENCES,71.62073397,72.385536565,Global Affairs,"Philosophy, Politics and Economics",760,NA
612,N356117408203,F,East Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",72.52422706,68.209892285,"Philosophy, Politics and Economics",Psychology,790,NA
613,N357117405203,F,Southeast Asia,ay1718,PHYSICAL SCIENCES,70.51912951,66.3035206075,Life Sciences,Life Sciences,720,B
614,N358117401203,M,East Asia,ay1718,PSYCHOLOGY,69.65653675,69.2725197125,"Philosophy, Politics and Economics",Economics,800,A
615,N359117402203,F,East Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",82.10037637,81.656974485,Environmental Studies,Physical Sciences,780,A
616,N360117418203,M,Europe,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",78.43494535,84.81232276,"Philosophy, Politics and Economics",Economics,780,NA
617,N361117414203,M,South Asia,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",82.31390566,90.4610094275,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences",790,NA
618,N362117413203,F,Europe,ay1718,GLOBAL AFFAIRS,69.26514508,65.04044748,"Philosophy, Politics and Economics",Global Affairs,680,NA
619,N363117412203,M,Europe,ay1718,URBAN STUDIES,69.78489315,66.2692697625,Anthropology,Philosophy,620,NA
620,N364117410203,M,Southeast Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.44714374,89.6862071975,"Mathematical, Computational and Statistical Sciences",Economics,800,NA
621,N365117408203,M,South Asia,ay1718,ECONOMICS,73.79506274,76.132900935,Economics,NA,790,A
622,N367117401203,F,North America,ay1718,URBAN STUDIES,71.51087912,74.265745025,Undecided,Physical Sciences,680,NA
623,N368117402203,F,Southeast Asia,ay1718,GLOBAL AFFAIRS,73.982031,71.026491165,"Philosophy, Politics and Economics",Arts & Humanities,730,NA
