QR2
,PIN,Matriculation.Date,Sex,Academic.Interest.1,Academic.Interest.2,SAT.I.Math,Translated.SAT.I.Math,SAT.R.Math.Verified,ACT.Math.Verified,GCE..A..Levels.H1.MATHEMATICS.Grade,GCE..A..Levels.H1.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.MATHEMATICS.Grade,GCE..A..Levels.H2.PHYSICS.ADD..PHYSICS.Grade,IB.Math.Studies.SL.Score,IB.Mathematics.SL.Score,IB.Mathematics.HL.Score,IB.Computer.Sc..HL.Score,AP.Calculus..AB..Score,AP.Statistics.Score,AP.Physics.1.Score,AP.Computer.Science..A..Score,SATnew
95,N394116424207,2016,F,Psychology,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
96,N352115412225,2016,M,Economics,Physical Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
97,N388115418262,2016,F,Psychology,Economics,730,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760
98,N360115414224,2016,M,"Philosophy, Politics and Economics",Economics,780,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790
99,N353115408262,2016,M,Psychology,Physical Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
100,N320115423225,2016,F,Literature,Anthropology,760,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780
101,N311115423225,2016,F,"Philosophy, Politics and Economics",Global Affairs,730,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760
102,N337115405225,2016,F,Global Affairs,Anthropology,650,670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670
103,N386115423262,2016,M,Literature,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
104,N301115424225,2016,M,"Mathematical, Computational and Statistical Sciences",Economics,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,800
105,N398116414207,2016,M,History,Psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
106,N394115402224,2016,M,Environmental Studies,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
107,N315115413225,2016,M,Economics,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
108,N380115408262,2016,F,Undecided,Undecided,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
109,N335116405217,2016,M,Environmental Studies,Life Sciences,640,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,660
110,N341115413262,2016,M,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
111,N381115410224,2016,F,Economics,Arts & Humanities,700,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,730
112,N336116408215,2016,F,Economics,Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
113,N353115412224,2016,M,"Philosophy, Politics and Economics",Arts & Humanities,790,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
114,N343116412215,2016,F,Literature,Psychology,780,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790
115,N368115423262,2016,M,Psychology,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
117,N348115402225,2016,F,Economics,Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
118,N300115425225,2016,F,"Philosophy, Politics and Economics",Arts & Humanities,650,670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670
120,N378115424224,2016,F,Global Affairs,"Philosophy, Politics and Economics",800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
121,N387115421262,2016,F,Literature,Global Affairs,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
122,N357115401224,2016,F,Life Sciences,Economics,690,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720
123,N338115402262,2016,F,Undecided,Urban Studies,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
124,N396115424224,2016,F,Literature,Economics,750,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770
125,N327115408225,2016,F,Physical Sciences,Life Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
127,N342116413215,2016,F,Environmental Studies,Urban Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
128,N390115405262,2016,M,"Philosophy, Politics and Economics",Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
129,N310115401240,2016,F,Life Sciences,Physical Sciences,790,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,800
130,N377116425223,2016,F,Urban Studies,Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
131,N355115408224,2016,F,"Mathematical, Computational and Statistical Sciences",Philosophy,770,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780
132,N337115401262,2016,M,Literature,Philosophy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
133,N341115414225,2016,M,"Philosophy, Politics and Economics",Philosophy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
134,N336115405262,2016,M,Psychology,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
135,N367115424262,2016,F,Arts & Humanities,Global Affairs,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
137,N332115412272,2016,F,Psychology,Global Affairs,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
138,N340115421224,2016,M,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
139,N340116418215,2016,F,Arts & Humanities,Psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
140,N366115425262,2016,F,Philosophy,Literature,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
141,N373115408224,2016,F,Physical Sciences,Arts & Humanities,740,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760
142,N308116405208,2016,M,Urban Studies,Anthropology,760,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780
144,N340115414262,2016,M,Literature,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
145,N368115425224,2016,M,Global Affairs,Economics,680,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710
146,N303115421225,2016,M,Economics,Global Affairs,700,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730
147,N376115402224,2016,M,Anthropology,Urban Studies,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
149,N319115424283,2016,F,"Philosophy, Politics and Economics",Undecided,NA,NA,NA,NA,NA,NA,B,B,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
150,N337115408224,2016,M,Economics,"Mathematical, Computational and Statistical Sciences",780,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790
151,N346115405225,2016,M,Psychology,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
152,N375115401224,2016,M,Physical Sciences,Global Affairs,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
153,N369115421262,2016,F,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences",790,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
154,N311116418208,2016,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
155,N370115410262,2016,M,"Philosophy, Politics and Economics",Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
156,N377115425224,2016,M,Physical Sciences,Global Affairs,790,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
157,N384115425262,2016,M,"Philosophy, Politics and Economics",Global Affairs,730,760,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,760
159,N351115413225,2016,F,"Mathematical, Computational and Statistical Sciences",NA,730,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760
160,N306115413225,2016,F,"Mathematical, Computational and Statistical Sciences",Economics,710,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,740
161,N312115421225,2016,F,Psychology,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
162,N393116425207,2016,M,Arts & Humanities,Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
163,N395116423207,2016,F,Literature,Arts & Humanities,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
164,N354115410224,2016,M,"Philosophy, Politics and Economics",Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
165,N350115413262,2016,M,Literature,Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
166,N343115410262,2016,F,Economics,Global Affairs,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
167,N382115408224,2016,F,History,Physical Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
168,N379115418262,2016,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
169,N364115401262,2016,M,Environmental Studies,Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
170,N348115401224,2016,M,Economics,Physical Sciences,700,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730
171,N344115412224,2016,M,Physical Sciences,"Philosophy, Politics and Economics",760,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780
172,N309115413240,2016,F,Anthropology,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
174,N305116412208,2016,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
175,N351113418261,2016,M,Anthropology,"Mathematical, Computational and Statistical Sciences",800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
176,N332115414225,2016,F,Literature,Life Sciences,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
177,N325115412225,2016,M,Psychology,NA,780,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790
178,N313116413208,2016,M,Economics,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
179,N335115410225,2016,M,"Philosophy, Politics and Economics",Philosophy,770,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780
181,N369115424224,2016,F,Physical Sciences,Environmental Studies,740,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760
182,N312115425240,2016,M,Environmental Studies,Physical Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
183,N338113408261,2016,F,Psychology,Global Affairs,780,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790
184,N342115413225,2016,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
185,N392115405224,2016,F,Economics,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
186,N360115412262,2016,F,Economics,Global Affairs,NA,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
187,N352115413224,2016,F,Global Affairs,Psychology,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
188,N385115402224,2016,F,Anthropology,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
189,N310116421208,2016,F,Anthropology,Literature,740,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760
190,N350115414225,2016,M,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",760,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780
191,N347115401225,2016,M,Psychology,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
192,N359115425224,2016,F,"Philosophy, Politics and Economics",Economics,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
193,N339115425262,2016,M,Economics,"Philosophy, Politics and Economics",690,720,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720
194,N391115408224,2016,F,Economics,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
195,N341116414215,2016,F,Psychology,Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
196,N349115425225,2016,F,Life Sciences,"Philosophy, Politics and Economics",700,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730
197,N338116401215,2016,F,"Philosophy, Politics and Economics",Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
198,N349115402224,2016,F,Economics,Literature,720,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750
199,N356110408273,2016,M,Physical Sciences,Environmental Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
200,N334115412225,2016,F,Arts & Humanities,Arts & Humanities,630,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650
201,N301116421208,2016,M,Economics,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
202,N362115408262,2016,M,Literature,Undecided,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
203,N345115405262,2016,F,Urban Studies,Environmental Studies,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
205,N393117425215,2017,F,Literature,Arts & Humanities,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
206,N372117405215,2017,M,Global Affairs,History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
209,N301116405296,2017,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,762.279411764706
215,N398117418214,2017,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
216,N376117401203,2017,F,Life Sciences,Environmental Studies,620,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640
217,N338117408203,2017,M,Economics,"Mathematical, Computational and Statistical Sciences",740,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760
218,N327116414296,2017,F,Global Affairs,Psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,762.279411764706
219,N301115412200,2017,F,Urban Studies,Physical Sciences,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
220,N349117401203,2017,F,Life Sciences,Psychology,660,690,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,690
221,N307116421296,2017,F,Psychology,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
223,N307117410215,2017,M,Literature,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
225,N385117401203,2017,F,Economics,"Philosophy, Politics and Economics",720,750,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,750
226,N397116401295,2017,F,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
228,N361117410215,2017,M,Arts & Humanities,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
229,N349111425274,2017,M,Physical Sciences,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,762.279411764706
230,N358117424215,2017,M,Physical Sciences,Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
231,N341117408209,2017,F,Life Sciences,Literature,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
232,N314117410271,2017,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
233,N364117401215,2017,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
234,N343117401209,2017,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
235,N335117405243,2017,F,Anthropology,Life Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
236,N310117425204,2017,F,Physical Sciences,NA,760,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780
239,N353117408215,2017,F,Literature,Anthropology,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
240,N379117418215,2017,F,Global Affairs,Economics,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
241,N384117425215,2017,M,Arts & Humanities,Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
242,N327116418295,2017,F,Undecided,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
244,N335115424200,2017,F,Psychology,Global Affairs,780,790,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,790
245,N389117423203,2017,F,"Mathematical, Computational and Statistical Sciences",Life Sciences,750,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770
246,N309116414296,2017,M,Global Affairs,History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
250,N395117424214,2017,F,Arts & Humanities,Physical Sciences,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
251,N337117408204,2017,M,"Philosophy, Politics and Economics",Urban Studies,730,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760
253,N324116424295,2017,M,Psychology,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
254,N352117410215,2017,F,Environmental Studies,Urban Studies,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
255,N315116423296,2017,F,Urban Studies,Psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
256,N388117424203,2017,M,Psychology,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,762.279411764706
257,N323116425295,2017,M,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
258,N368117423215,2017,M,Economics,Global Affairs,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
260,N303116402296,2017,M,Undecided,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
261,N338116402207,2017,F,Psychology,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
263,N306117412215,2017,F,Arts & Humanities,Global Affairs,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
264,N346117401215,2017,M,"Philosophy, Politics and Economics",Psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
265,N347117402215,2017,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
266,N367117424215,2017,F,Arts & Humanities,Global Affairs,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
268,N374117402215,2017,F,Literature,Philosophy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
269,N333117405227,2017,F,Psychology,Life Sciences,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
271,N317116424248,2017,M,Psychology,History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
273,N398116402295,2017,F,Arts & Humanities,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
274,N399117414214,2017,M,"Philosophy, Politics and Economics",Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
275,N398114424299,2017,F,Urban Studies,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
277,N388117418215,2017,F,Urban Studies,Environmental Studies,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
278,N329116412296,2017,F,Anthropology,Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
281,N326116418296,2017,F,Psychology,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
282,N366117425215,2017,M,Psychology,Anthropology,NA,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
283,N341117418204,2017,F,Life Sciences,Psychology,660,690,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,690
284,N371117408215,2017,M,Arts & Humanities,"Philosophy, Politics and Economics",800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
285,N340116425296,2017,M,"Mathematical, Computational and Statistical Sciences",Physical Sciences,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
286,N300116408296,2017,F,Arts & Humanities,Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
287,N328117424245,2017,M,Arts & Humanities,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
288,N325116421296,2017,M,Economics,"Mathematical, Computational and Statistical Sciences",800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
289,N343112414217,2017,M,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
291,N335116418296,2017,M,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
292,N345117425209,2017,M,Psychology,Physical Sciences,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
293,N305117413215,2017,F,Philosophy,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
294,N350117413215,2017,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
297,N337117410203,2017,M,Economics,Psychology,690,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720
298,N326117412204,2017,M,"Philosophy, Politics and Economics",Economics,680,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710
299,N362117408215,2017,F,Urban Studies,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
300,N323117408245,2017,M,Economics,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
