PIN,Matriculation.Date,Sex,Academic.Interest.1,Academic.Interest.2,SAT.I.Math,Translated.SAT.I.Math,SAT.R.Math.Verified,ACT.Math.Verified,GCE..A..Levels.H1.MATHEMATICS.Grade,GCE..A..Levels.H1.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.MATHEMATICS.Grade,GCE..A..Levels.H2.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.COMPUTER.SCIENCE.COMPUTING.Grade,IB.Math.Studies.SL.Score,IB.Mathematics.SL.Score,IB.Mathematics.HL.Score,IB.Math.Stats.HL.Score,IB.Further.mathematics.SL.Score,IB.Computer.Sc..SL.Score,IB.Computer.Sc..HL.Score,AP.Calculus..AB..Score,AP.Statistics.Score,AP.Physics.1.Score,AP.Computer.Science..A..Score,AP.Computer.Science..AB..Score
N383117408203,2017,M,"Mathematical, Computational and Statistical Sciences",Physical Sciences,750,770,NA,NA,,,,,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
N304116425296,2017,F,Arts & Humanities,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N352117414203,2017,F,Physical Sciences,Psychology,NA,NA,680,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N305116424296,2017,M,Economics,Global Affairs,780,790,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N308117412204,2017,M,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences",NA,NA,NA,36,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N373117410203,2017,F,"Mathematical, Computational and Statistical Sciences",Physical Sciences,NA,NA,680,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N395117402203,2017,F,Arts & Humanities,Psychology,NA,NA,730,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N332117412243,2017,M,Environmental Studies,Physical Sciences,690,720,750,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N334116421296,2017,M,Global Affairs,Economics,NA,NA,700,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N313117412271,2017,F,"Philosophy, Politics and Economics",Global Affairs,760,780,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N311116401296,2017,M,Anthropology,Economics,NA,NA,NA,NA,,,C,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N379117424203,2017,F,"Philosophy, Politics and Economics",,NA,NA,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N372117412203,2017,M,Undecided,"Mathematical, Computational and Statistical Sciences",770,780,700,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N324117414204,2017,F,Psychology,Physical Sciences,NA,NA,NA,36,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N391117410203,2017,F,Literature,Physical Sciences,NA,NA,690,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N392117402215,2017,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N355117410203,2017,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,34,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N350117421203,2017,F,"Philosophy, Politics and Economics",Psychology,NA,NA,NA,35,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N331117421204,2017,F,Global Affairs,Arts & Humanities,NA,NA,640,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N357117425215,2017,F,Literature,"Philosophy, Politics and Economics",NA,NA,NA,NA,B,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N370117414203,2017,F,Psychology,"Philosophy, Politics and Economics",NA,NA,770,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N312117423204,2017,M,Physical Sciences,"Mathematical, Computational and Statistical Sciences",NA,NA,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N399116425295,2017,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N332117418204,2017,F,Economics,Undecided,NA,NA,NA,NA,,,,,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
N313116425296,2017,F,Economics,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N397117421214,2017,M,Physical Sciences,Anthropology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N328116414295,2017,M,History,Environmental Studies,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N324116423296,2017,F,Anthropology,Undecided,660,690,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N356117408203,2017,F,"Philosophy, Politics and Economics",Psychology,780,790,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N313117421204,2017,F,Psychology,Urban Studies,NA,NA,780,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N354117412203,2017,F,"Philosophy, Politics and Economics",Economics,NA,NA,770,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N339117421209,2017,M,Physical Sciences,Physical Sciences,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N316117413204,2017,F,Undecided,Anthropology,NA,NA,730,NA,,,,,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N390117405215,2017,F,History,Global Affairs,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N302117421215,2017,F,Anthropology,"Philosophy, Politics and Economics",NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N332116424296,2017,M,Economics,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N325116423295,2017,F,Global Affairs,History,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N382117423219,2017,F,Life Sciences,Philosophy,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N381117412203,2017,M,Economics,Global Affairs,NA,NA,780,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N318116414296,2017,F,Physical Sciences,"Mathematical, Computational and Statistical Sciences",NA,NA,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N353117413203,2017,M,Economics,"Philosophy, Politics and Economics",NA,NA,730,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N347117408203,2017,F,Economics,Global Affairs,710,740,720,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N351117418203,2017,F,Environmental Studies,Urban Studies,770,780,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
N330117423204,2017,F,Environmental Studies,Global Affairs,730,760,NA,NA,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N373113405290,2017,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N380117408215,2017,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N319116413296,2017,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,33,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N323116424296,2017,M,"Philosophy, Politics and Economics",Anthropology,NA,NA,710,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N329117405204,2017,F,History,Psychology,NA,NA,NA,36,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
N308117408215,2017,F,Psychology,Anthropology,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N302117424204,2017,M,Economics,Physical Sciences,800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N387117421215,2017,F,History,Literature,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N359117402203,2017,F,Environmental Studies,Physical Sciences,NA,NA,NA,35,,,,,NA,NA,NA,6,NA,NA,NA,NA,5,NA,NA,NA,NA
N362117413203,2017,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,680,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N312116402296,2017,F,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N392117408203,2017,F,Arts & Humanities,Arts & Humanities,770,780,NA,NA,,,,,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N305117418204,2017,F,Psychology,Global Affairs,NA,NA,NA,36,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N385117424215,2017,M,Literature,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,,A,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N365117402215,2017,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N378117421215,2017,M,Environmental Studies,Arts & Humanities,NA,NA,NA,36,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N345117412203,2017,M,"Mathematical, Computational and Statistical Sciences",Physical Sciences,740,760,NA,34,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N377117402203,2017,M,"Philosophy, Politics and Economics",Economics,NA,NA,770,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N338116412296,2017,M,Literature,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N345117405215,2017,F,Literature,Arts & Humanities,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N382117410203,2017,F,"Mathematical, Computational and Statistical Sciences",Psychology,NA,NA,680,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
N397117424203,2017,F,Undecided,Economics,NA,NA,NA,35,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N342117405209,2017,M,Physical Sciences,Psychology,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N324117405209,2017,M,Environmental Studies,Physical Sciences,800,800,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N317116418296,2017,M,Economics,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N396117423214,2017,M,Literature,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N399117421203,2017,M,"Mathematical, Computational and Statistical Sciences",Literature,NA,NA,710,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N363117405215,2017,M,"Philosophy, Politics and Economics",Urban Studies,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N344117408215,2017,F,Economics,"Mathematical, Computational and Statistical Sciences",790,800,NA,NA,,,A,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N339117401204,2017,F,"Philosophy, Politics and Economics",Economics,NA,NA,NA,34,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N340117423203,2017,F,"Philosophy, Politics and Economics",Urban Studies,NA,NA,NA,34,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N391117401215,2017,F,History,Global Affairs,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N378114401240,2017,M,Global Affairs,Arts & Humanities,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N364117410203,2017,M,"Mathematical, Computational and Statistical Sciences",Economics,NA,NA,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N343117410215,2017,F,Anthropology,Urban Studies,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N304117414215,2017,M,Economics,"Philosophy, Politics and Economics",NA,NA,770,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N337116413296,2017,F,Arts & Humanities,History,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N394117401203,2017,F,Life Sciences,Physical Sciences,NA,NA,710,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N367117401203,2017,F,Undecided,Physical Sciences,NA,NA,NA,29,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N346117410203,2017,F,Global Affairs,"Philosophy, Politics and Economics",800,800,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N328116413296,2017,M,Anthropology,Arts & Humanities,NA,NA,NA,29,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N330116402296,2017,F,"Mathematical, Computational and Statistical Sciences",Undecided,780,790,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N333116423296,2017,F,Anthropology,,NA,NA,730,NA,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N344117412204,2017,F,Urban Studies,"Philosophy, Politics and Economics",800,800,790,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N348117405203,2017,F,Life Sciences,Environmental Studies,NA,NA,700,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N341116424296,2017,F,Undecided,Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N311117424204,2017,M,Undecided,Undecided,640,660,700,NA,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N341117421203,2017,M,Economics,Life Sciences,NA,NA,750,NA,,,,,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N369117425203,2017,F,Global Affairs,Psychology,NA,NA,730,NA,,,,,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N320116401296,2017,M,Economics,Economics,NA,NA,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,NA
N382117401215,2017,M,History,Literature,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N303117425220,2017,F,History,Life Sciences,NA,NA,NA,33,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N310116405296,2017,M,Economics,"Mathematical, Computational and Statistical Sciences",NA,NA,730,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N387117425203,2017,M,"Philosophy, Politics and Economics","Philosophy, Politics and Economics",NA,NA,760,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N308116418296,2017,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,630,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N331116425296,2017,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N343117413204,2017,M,History,Physical Sciences,NA,NA,720,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N303117418215,2017,F,Philosophy,Literature,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N302116401296,2017,M,Global Affairs,Arts & Humanities,NA,NA,790,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N328117408204,2017,F,Anthropology,Anthropology,NA,NA,780,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N375117425215,2017,F,Psychology,Urban Studies,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N321117423204,2017,M,Anthropology,Anthropology,NA,NA,620,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N373117401215,2017,M,"Philosophy, Politics and Economics",History,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N350114423299,2017,M,Physical Sciences,Physical Sciences,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N380117413203,2017,F,Environmental Studies,Undecided,NA,NA,720,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
N334117408243,2017,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,33,,,,,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N378117425203,2017,F,"Philosophy, Politics and Economics",Economics,710,740,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N307117413204,2017,F,"Mathematical, Computational and Statistical Sciences",Undecided,NA,NA,740,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N300117424215,2017,F,Psychology,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N384117405203,2017,F,"Philosophy, Politics and Economics",Life Sciences,800,800,790,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N372116401280,2017,M,Anthropology,Physical Sciences,NA,NA,800,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N361117414203,2017,M,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences",780,790,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N322116402295,2017,F,Anthropology,Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N301117425204,2017,F,Psychology,Philosophy,NA,NA,690,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N368117402203,2017,F,"Philosophy, Politics and Economics",Arts & Humanities,700,730,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N386119413208,2018,M,"Mathematical, Computational and Statistical Sciences","Mathematical, Computational and Statistical Sciences",NA,NA,770,NA,,,,,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
N317119425208,2018,M,Anthropology,Anthropology,NA,NA,710,NA,,,B,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N366119414209,2018,F,Literature,Arts & Humanities,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N328119421209,2018,F,Literature,Anthropology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N361119425209,2018,M,Economics,"Philosophy, Politics and Economics",NA,NA,NA,30,,,,,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
N343119425209,2018,F,Psychology,Life Sciences,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N313119408208,2018,F,Economics,Undecided,NA,NA,NA,35,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N373119421209,2018,M,"Mathematical, Computational and Statistical Sciences",Economics,710,740,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,5,NA
N314119405208,2018,F,"Mathematical, Computational and Statistical Sciences",Philosophy,NA,NA,NA,35,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N330119408209,2018,F,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,30,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N381119423209,2018,F,Global Affairs,Physical Sciences,NA,NA,NA,35,,,,,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
N385119418207,2018,F,Psychology,"Philosophy, Politics and Economics",NA,NA,720,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N384119414209,2018,F,History,Global Affairs,NA,NA,710,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N390119425207,2018,F,Psychology,Life Sciences,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N383119421208,2018,F,Global Affairs,Arts & Humanities,NA,NA,680,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N327119423209,2018,F,Life Sciences,,NA,NA,NA,33,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N388119412207,2018,F,Anthropology,Psychology,NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N378119413216,2018,F,Anthropology,Undecided,NA,NA,NA,NA,,,B,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N322119405209,2018,M,Economics,"Philosophy, Politics and Economics",NA,NA,770,NA,,,,,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
N383119418209,2018,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,7,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
N334119402208,2018,M,Global Affairs,"Philosophy, Politics and Economics",610,630,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N335119424209,2018,F,Environmental Studies,Economics,NA,NA,780,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
N347119421208,2018,M,Economics,Arts & Humanities,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N332119414212,2018,M,"Philosophy, Politics and Economics",Arts & Humanities,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N355119423208,2018,F,"Philosophy, Politics and Economics",Economics,NA,NA,NA,35,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N389119410207,2018,M,Economics,Literature,NA,NA,NA,34,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA
N325119424219,2018,F,Global Affairs,Psychology,NA,NA,790,NA,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N356119418209,2018,M,"Mathematical, Computational and Statistical Sciences",Physical Sciences,NA,NA,NA,35,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA
N325119412212,2018,M,Literature,Anthropology,NA,NA,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N345119424208,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N331119418212,2018,M,Psychology,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N322119408208,2018,M,History,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N380119402207,2018,F,Anthropology,Literature,NA,NA,790,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
N318119421219,2018,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,790,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
N392119421208,2018,M,Economics,Life Sciences,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N377119414207,2018,M,Global Affairs,Life Sciences,NA,NA,780,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N336119423209,2018,M,Psychology,Economics,700,730,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
N359119412209,2018,F,"Philosophy, Politics and Economics","Philosophy, Politics and Economics",NA,NA,720,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N392119423207,2018,F,Urban Studies,Psychology,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N324119425219,2018,F,"Philosophy, Politics and Economics",Economics,NA,NA,640,NA,,,,,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N348119418208,2018,F,Economics,Global Affairs,NA,NA,NA,NA,B,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N307119425209,2018,M,Undecided,Undecided,NA,NA,760,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N368118423250,2018,F,"Mathematical, Computational and Statistical Sciences",Physical Sciences,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N366119418208,2018,M,Life Sciences,Life Sciences,NA,NA,800,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N311119410209,2018,M,"Philosophy, Politics and Economics",Global Affairs,660,690,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N396119412208,2018,M,Philosophy,"Mathematical, Computational and Statistical Sciences",NA,NA,NA,NA,,,A,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
