PIN,Sex,Region,Year,Major,Grade,Exam1,Exam2,TRAT,Instructor,Writing,IRAT,Present,Report,Peer,Reading,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
N360117418203,M,Europe,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",78.43494535,90,84,92.25,86.7158812,79.71307569,78.24929104,81.66666667,71.42857143,78.3448276,0,NA,83.24190999,62.88610743,80.65135235,90.0029302,NA,82.61757986,79.25506584,76.30101898,92.82039129,86.94036108,62.51587499,80.18282461,70.31501476,81.1540837,84.88707974,81.71730727,68.28975524,84.26527299,77.74443184,90,100,100,70,80,90,85,66.66666667,100,100,90,100,100,90,100,91.66666667,100,91.66666667,100,NA
N361117414203,M,South Asia,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",82.31390566,96.5,92,90.9583333,97.42912782,89.1954668,79.09403771,80,74.64285714,77.3529412,0.350877193,67.75518285,75.25070449,70.75706301,80.65135235,90.0029302,68.13084867,82.61757986,87.41327477,98.24487241,85.29358161,NA,NA,73.35337343,82.80830873,87.89681888,78.65286197,81.71730727,74.89636688,77.08398237,77.74443184,90,90,100,85,80,90,100,100,79.16666667,100,80,80,91.66666667,90,100,100,80,83.33333333,100,NA
N362117413203,F,Europe,ay1718,GLOBAL AFFAIRS,69.26514508,52,71,89.375,81.13849814,60.00290684,75.66178992,90,68.57142857,78.3783784,2.280701754,75.48298781,75.25070449,70.75706301,87.16434586,81.61701288,68.13084867,75,79.25506584,83.61563679,NA,67.54045672,76.9951798,NA,76.56166175,87.89681888,78.65286197,76.30081188,68.28975524,69.90269176,72.6361828,100,100,91.66666667,50,80,90,80,66.66666667,79.16666667,100,100,90,100,85,100,100,100,83.33333333,91.66666667,NA
N363117412203,M,Europe,ay1718,URBAN STUDIES,69.78489315,57.5,70,91.25,67.15840047,82.82736401,73.82707905,66.66666667,73.57142857,78.2222222,0.175438596,75.48298781,75.25070449,62.88610743,80.65135235,NA,82.49621079,67.38242014,79.25506584,76.30101898,77.76677194,80.47372629,62.51587499,73.35337343,70.31501476,74.41134852,59.95020867,81.71730727,88.10959014,77.08398237,NA,100,90,91.66666667,60,100,85,90,100,91.66666667,100,100,90,100,85,100,91.66666667,100,50,100,NA
N364117410203,M,Southeast Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.44714374,85.5,96,95.3333333,94.21653054,90.13716309,86.49482879,86.66666667,77.5,81.30909093,8.070175439,83.21079277,83.24190999,94.36992974,87.16434586,81.61701288,82.49621079,82.61757986,87.41327477,90.9302546,NA,86.94036108,91.4744846,93.84172697,82.80830873,NA,84.88707974,81.71730727,88.10959014,91.44656361,87.96092992,85,100,100,70,100,100,85,75,91.66666667,100,100,100,100,100,100,100,100,100,100,NA
N365117408203,M,South Asia,ay1718,ECONOMICS,73.79506274,81.5,70,90.375,75.20456297,78.8390196,77.28160374,81.66666667,62.14285714,70.13698633,3.684210526,83.21079277,67.25949898,NA,87.16434586,NA,75.31352973,75,79.25506584,76.30101898,70.23996226,80.47372629,76.9951798,87.01227579,70.31501476,81.1540837,72.41864421,87.13380266,81.50297851,69.90269176,82.85268088,75,90,100,75,100,100,65,70.83333333,100,91.66666667,85,90,100,90,100,91.66666667,100,83.33333333,100,NA
N367117401203,F,North America,ay1718,URBAN STUDIES,71.51087912,76,77,92.4583333,60.47851938,67.66699582,67.5629801,80,73.21428571,64.61538461,3.50877193,75.48298781,67.25949898,70.75706301,67.62536533,73.23109557,68.13084867,67.38242014,79.25506584,68.98640117,77.76677194,NA,55.27622259,59.69447107,NA,NA,78.65286197,65.46782111,61.68314361,NA,57.31143567,100,90,100,70,100,90,90,70.83333333,91.66666667,100,75,100,100,90,100,100,90,91.66666667,100,NA
N368117402203,F,Southeast Asia,ay1718,GLOBAL AFFAIRS,73.982031,72,68,92.4583333,80.51816263,72.40461088,74.10596466,80,73.21428571,81.6438356,2.98245614,75.48298781,75.25070449,70.75706301,74.13835884,81.61701288,82.49621079,75,71.0968569,68.98640117,70.23996226,67.54045672,76.9951798,NA,76.56166175,81.1540837,72.41864421,NA,68.28975524,77.08398237,82.85268088,100,90,100,70,100,90,90,70.83333333,91.66666667,100,75,100,100,90,100,100,90,91.66666667,100,NA
N369117425203,F,Singapore,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",73.92285339,73.5,74,88.0833333,75.20456297,69.19683084,73.78360257,81.66666667,73.57142857,84.67532467,1.578947369,75.48298781,75.25070449,78.62801859,61.11237182,64.84517825,NA,NA,NA,83.61563679,70.23996226,80.47372629,NA,73.35337343,82.80830873,81.1540837,78.65286197,70.8843165,74.89636688,69.90269176,77.74443184,90,85,91.66666667,60,85,90,80,66.66666667,87.5,100,90,90,91.66666667,90,100,100,85,79.16666667,100,NA
N370117414203,F,East Asia,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",76.00283203,79,67,89.3928571,81.21564564,89.55285752,80.17779039,76.66666667,68.92857143,80,2.807017544,75.48298781,91.2331155,NA,74.13835884,81.61701288,75.31352973,82.61757986,71.0968569,76.30101898,92.82039129,NA,76.9951798,93.84172697,82.80830873,81.1540837,72.41864421,87.13380266,88.10959014,69.90269176,82.85268088,90,90,100,80,100,70,80,79.16666667,87.5,100,80,100,100,85,92.85714286,91.66666667,70,91.66666667,100,NA
N371117413203,F,North America,ay1718,LIFE SCIENCES,75.69309178,81.5,63.5,93.75,80.12305158,79.47863144,77.37865261,80,82.14285714,83.24324327,0.350877193,83.21079277,67.25949898,NA,67.62536533,90.0029302,75.31352973,82.61757986,NA,83.61563679,77.76677194,80.47372629,76.9951798,80.18282461,76.56166175,81.1540837,72.41864421,76.30081188,88.10959014,69.90269176,77.74443184,90,80,100,80,100,100,70,91.66666667,91.66666667,100,90,100,91.66666667,90,100,100,100,100,100,NA
N372117412203,M,South Asia,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",68.90088027,69.5,62,89.8333333,64.86734599,77.74573012,70.53052745,73.33333333,69.28571429,76.84210527,0,75.48298781,59.26829347,78.62801859,74.13835884,73.23109557,82.49621079,59.76484028,62.93864796,61.67178336,70.23996226,80.47372629,84.2348322,73.35337343,70.31501476,74.41134852,NA,NA,55.07653198,77.08398237,72.6361828,100,100,100,60,90,75,55,58.33333333,100,100,100,100,100,85,100,91.66666667,90,100,91.66666667,NA
N373117410203,F,South Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",70.35969082,78,62,89.4940476,70.49065186,69.45474731,67.40153429,83.33333333,75.35714286,73.14285713,1.052631579,75.48298781,59.26829347,78.62801859,61.11237182,73.23109557,68.13084867,59.76484028,71.0968569,76.30101898,NA,74.00709151,55.27622259,66.52392225,70.31501476,NA,72.41864421,54.63483034,74.89636688,62.72140114,72.6361828,100,85,100,85,90,100,80,87.5,91.66666667,100,80,85,100,80,85.71428571,83.33333333,90,66.66666667,100,NA
N374117408203,F,Other,ay1718,GLOBAL AFFAIRS,59.77056365,40,51,84.9940476,66.34205157,69.45474731,66.08446008,76.66666667,68.21428571,67.30249113,0,NA,59.26829347,62.88610743,67.62536533,56.45926093,68.13084867,82.61757986,79.25506584,83.61563679,77.76677194,NA,55.27622259,59.69447107,NA,NA,59.95020867,60.05132572,68.28975524,62.72140114,67.52793375,90,65,83.33333333,75,100,90,90,87.5,75,100,80,70,100,80,85.71428571,79.16666667,70,100,79.16666667,NA
N376117401203,F,Other,ay1718,LIFE SCIENCES,74.71963677,66,71,94.2916667,82.93645273,83.24294318,76.23989735,90,76.19047619,80,1.052631579,NA,75.25070449,70.75706301,74.13835884,81.61701288,NA,82.61757986,71.0968569,68.98640117,77.76677194,86.94036108,69.75552739,87.01227579,70.31501476,74.41134852,84.88707974,76.30081188,88.10959014,69.90269176,77.74443184,100,90,100,100,100,80,90,83.33333333,79.16666667,100,80,100,100,100,100,91.66666667,100,100,91.66666667,NA
N377117402203,M,Europe,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",79.26436343,93,75,88.4345238,88.72721128,76.19906891,79.31962841,83.33333333,58.57142857,81.50943393,5.964912281,83.21079277,83.24190999,86.49897416,87.16434586,73.23109557,82.49621079,90.23515972,71.0968569,83.61563679,77.76677194,86.94036108,69.75552739,NA,70.31501476,NA,78.65286197,81.71730727,81.50297851,77.08398237,82.85268088,90,100,100,85,90,100,70,66.66666667,87.5,100,80,60,91.66666667,80,92.85714286,100,100,83.33333333,91.66666667,NA
N378117425203,F,South Asia,ay1718,ECONOMICS,68.16943528,81.5,76,88.0833333,43.64341978,57.41193347,75.34423581,81.66666667,73.57142857,58.91891892,0,75.48298781,75.25070449,62.88610743,74.13835884,73.23109557,75.31352973,90.23515972,71.0968569,NA,70.23996226,67.54045672,84.2348322,73.35337343,70.31501476,81.1540837,78.65286197,87.13380266,NA,84.26527299,NA,90,85,91.66666667,60,85,90,80,66.66666667,87.5,100,90,90,91.66666667,90,100,100,85,79.16666667,100,NA
N379117424203,F,Europe,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",74.89424229,84,74,93.8333333,79.3142664,83.65994213,79.86190679,76.66666667,77.5,66.06451613,0,83.21079277,91.2331155,70.75706301,87.16434586,81.61701288,NA,75,71.0968569,76.30101898,77.76677194,80.47372629,84.2348322,80.18282461,89.05495571,74.41134852,84.88707974,76.30081188,88.10959014,NA,82.85268088,85,100,100,80,100,100,80,100,91.66666667,100,75,100,100,90,100,91.66666667,100,83.33333333,100,NA
N380117413203,F,Singapore,ay1718,ENVIRONMENTAL STUDIES,70.16252993,68.5,56,94.125,71.98687083,66.50043994,74.14614826,73.33333333,79.28571429,78.4210526,2.105263158,75.48298781,75.25070449,70.75706301,NA,73.23109557,68.13084867,67.38242014,62.93864796,NA,77.76677194,74.00709151,91.4744846,66.52392225,76.56166175,81.1540837,78.65286197,70.8843165,74.89636688,84.26527299,77.74443184,85,85,100,85,100,100,90,70.83333333,91.66666667,100,90,85,100,100,100,100,100,100,100,NA
N381117412203,M,Other,ay1718,ECONOMICS,75.47694541,79,76,93.8333333,69.90132152,66.60651762,76.04179521,76.66666667,77.5,73.04347827,5.087719298,83.21079277,75.25070449,70.75706301,80.65135235,73.23109557,NA,75,79.25506584,83.61563679,77.76677194,80.47372629,76.9951798,NA,82.80830873,NA,66.18442644,81.71730727,74.89636688,69.90269176,82.85268088,85,100,100,80,100,100,80,100,91.66666667,100,75,100,100,90,100,91.66666667,100,83.33333333,100,NA
N383117408203,M,South Asia,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",69.28703624,67,67,91.5833333,88.05689305,76.82901925,76.27242047,80,80.35714286,55.2,0,75.48298781,67.25949898,62.88610743,67.62536533,90.0029302,NA,75,95.57148371,76.30101898,85.29358161,74.00709151,84.2348322,66.52392225,70.31501476,67.66861333,72.41864421,81.71730727,88.10959014,91.44656361,NA,100,90,91.66666667,70,100,85,90,87.5,83.33333333,100,85,90,91.66666667,80,100,100,100,87.5,100,NA
N384117405203,F,East Asia,ay1718,ECONOMICS,78.04195978,75,73,94.4761905,74.63925215,80.28832978,77.13119084,80,84.64285714,80,4.912280702,75.48298781,75.25070449,78.62801859,74.13835884,73.23109557,82.49621079,82.61757986,71.0968569,83.61563679,77.76677194,74.00709151,84.2348322,80.18282461,70.31501476,74.41134852,78.65286197,81.71730727,NA,NA,77.74443184,80,100,100,100,100,90,90,91.66666667,91.66666667,100,90,100,100,100,92.85714286,91.66666667,80,100,91.66666667,NA
N385117401203,F,Singapore,ay1718,ECONOMICS,79.59556815,91,64,85.7916667,83.72371318,83.26529143,78.8696693,73.33333333,69.28571429,84.90929287,8.070175439,67.75518285,83.24190999,78.62801859,80.65135235,90.0029302,89.67889185,75,95.57148371,68.98640117,85.29358161,74.00709151,76.9951798,80.18282461,NA,81.1540837,72.41864421,76.30081188,81.50297851,77.08398237,NA,80,90,83.33333333,70,100,90,100,45.83333333,91.66666667,79.16666667,80,50,83.33333333,85,100,100,100,100,87.5,NA
N386117402203,M,South Asia,ay1718,ECONOMICS,69.1122462,50.77804596,77,86.4761905,73.83828155,59.13928871,72.19407959,73.33333333,73.92857143,78.30985913,3.333333333,83.21079277,75.25070449,55.01515186,67.62536533,73.23109557,NA,82.61757986,62.93864796,68.98640117,85.29358161,74.00709151,76.9951798,73.35337343,64.06836778,74.41134852,NA,76.30081188,74.89636688,77.08398237,72.6361828,85,90,100,75,80,90,65,70.83333333,87.5,83.33333333,80,85,100,90,92.85714286,91.66666667,80,91.66666667,91.66666667,NA
N387117425203,M,Europe,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",80.38371964,93,87,94.2916667,87.08505301,84.22781432,80.31444234,90,76.19047619,73.51351353,0,75.48298781,75.25070449,78.62801859,87.16434586,90.0029302,82.49621079,82.61757986,87.41327477,83.61563679,77.76677194,80.47372629,NA,87.01227579,82.80830873,87.89681888,72.41864421,70.8843165,81.50297851,NA,72.6361828,100,90,100,100,100,80,90,83.33333333,79.16666667,100,80,100,100,100,100,91.66666667,100,100,91.66666667,NA
N388117424203,M,Singapore,ay1718,PSYCHOLOGY,78.3376146,67.5,83,93.75,77.03377425,77.48812858,74.73260213,80,82.14285714,78.44155847,6.666666667,75.48298781,NA,70.75706301,74.13835884,73.23109557,68.13084867,75,79.25506584,83.61563679,70.23996226,NA,69.75552739,73.35337343,76.56166175,81.1540837,72.41864421,NA,74.89636688,77.08398237,82.85268088,90,80,100,80,100,100,70,91.66666667,91.66666667,100,90,100,91.66666667,90,100,100,100,100,100,NA
N389117423203,F,Southeast Asia,ay1718,PSYCHOLOGY,74.50114366,70.5,56,88.7916667,80.02188194,76.82901925,76.52744764,83.33333333,79.64285714,86.57534247,4.385964912,83.21079277,83.24190999,70.75706301,87.16434586,NA,68.13084867,67.38242014,79.25506584,68.98640117,70.23996226,67.54045672,84.2348322,73.35337343,89.05495571,81.1540837,NA,76.30081188,88.10959014,77.08398237,72.6361828,100,100,100,60,85,100,90,62.5,91.66666667,91.66666667,70,80,91.66666667,80,100,91.66666667,90,91.66666667,100,NA
N390117412203,F,Southeast Asia,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",76.76141269,76.5,62,89.577381,77.67771327,74.93969258,77.44560633,76.66666667,73.92857143,84.8846676,7.894736842,83.21079277,75.25070449,78.62801859,87.16434586,NA,68.13084867,75,79.25506584,68.98640117,70.23996226,80.47372629,84.2348322,73.35337343,76.56166175,NA,78.65286197,81.71730727,88.10959014,77.08398237,77.74443184,90,90,100,70,100,90,80,91.66666667,79.16666667,100,90,70,83.33333333,80,85.71428571,100,100,91.66666667,100,NA
N391117410203,F,South Asia,ay1718,GLOBAL AFFAIRS,60.87000402,51.5,38.5,92.6428571,65.54924728,64.80804557,66.81537059,70,63.92857143,71.46950407,2.105263158,60.02737788,67.25949898,70.75706301,67.62536533,73.23109557,75.31352973,NA,71.0968569,61.67178336,77.76677194,67.54045672,55.27622259,59.69447107,NA,67.66861333,72.41864421,54.63483034,74.89636688,62.72140114,77.74443184,100,100,100,100,100,80,75,70.83333333,87.5,91.66666667,100,90,91.66666667,90,92.85714286,100,100,100,83.33333333,NA
N392117408203,F,North America,ay1718,GLOBAL AFFAIRS,69.94147872,71,67.5,90.375,76.95795981,77.76766529,71.92996518,81.66666667,62.14285714,73.42465753,0,83.21079277,75.25070449,70.75706301,61.11237182,73.23109557,75.31352973,75,62.93864796,76.30101898,70.23996226,80.47372629,NA,66.52392225,76.56166175,60.92587815,78.65286197,70.8843165,74.89636688,77.08398237,NA,75,90,100,75,100,100,65,70.83333333,100,91.66666667,85,90,100,90,100,91.66666667,100,83.33333333,100,NA
N393117405203,F,Singapore,ay1718,LIFE SCIENCES,81.03309355,92,85.5,90.375,83.09484876,85.26714544,82.0835963,81.66666667,62.14285714,92.8,0.526315789,75.48298781,75.25070449,86.49897416,74.13835884,90.0029302,89.67889185,90.23515972,71.0968569,NA,85.29358161,80.47372629,NA,87.01227579,82.80830873,81.1540837,78.65286197,81.71730727,88.10959014,84.26527299,87.96092992,75,90,100,75,100,100,65,70.83333333,100,91.66666667,85,90,100,90,100,91.66666667,100,83.33333333,100,NA
N394117401203,F,Europe,ay1718,LIFE SCIENCES,66.87796064,66,61,95.3333333,54.5233691,57.20931031,71.56054427,86.66666667,77.5,70.72093373,0,83.21079277,67.25949898,70.75706301,80.65135235,73.23109557,68.13084867,NA,71.0968569,68.98640117,62.71315258,74.00709151,NA,NA,70.31501476,74.41134852,66.18442644,81.71730727,68.28975524,77.08398237,67.52793375,85,100,100,70,100,100,85,75,91.66666667,100,100,100,100,100,100,100,100,100,100,NA
N395117402203,F,Europe,ay1718,ARTS AND HUMANITIES,63.92244538,59.5,54,90.9583333,64.84786846,66.9169342,73.28215922,80,74.64285714,59.91536183,0.175438596,83.21079277,83.24190999,62.88610743,74.13835884,73.23109557,75.31352973,75,79.25506584,76.30101898,62.71315258,80.47372629,69.75552739,NA,70.31501476,81.1540837,72.41864421,NA,68.28975524,77.08398237,67.52793375,90,90,100,85,80,90,100,100,79.16666667,100,80,80,91.66666667,90,100,100,80,83.33333333,100,NA
N397117424203,F,South Asia,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",68.2251571,44,70,88.3511905,79.35709485,74.58282209,77.02246963,66.66666667,72.14285714,80,1.228070175,67.75518285,67.25949898,NA,74.13835884,73.23109557,82.49621079,90.23515972,87.41327477,68.98640117,77.76677194,74.00709151,84.2348322,87.01227579,NA,74.41134852,78.65286197,81.71730727,81.50297851,77.08398237,72.6361828,100,85,100,60,100,80,80,75,87.5,91.66666667,90,90,83.33333333,85,92.85714286,91.66666667,100,87.5,87.5,NA
N399117421203,M,South Asia,ay1718,LITERATURE,77.41716,79.5,64,94.125,80.02188194,74.24687442,74.34822547,73.33333333,79.28571429,86.35761587,6.140350877,67.75518285,NA,78.62801859,67.62536533,73.23109557,82.49621079,90.23515972,79.25506584,68.98640117,70.23996226,74.00709151,NA,66.52392225,64.06836778,67.66861333,84.88707974,76.30081188,81.50297851,77.08398237,82.85268088,85,85,100,85,100,100,90,70.83333333,91.66666667,100,90,85,100,100,100,100,100,100,100,NA
N300117402204,M,Other,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",75.0354063,64.5,51.5,87.875,83.19065236,86.33779546,72.63867319,76.66666667,85.71428571,80,8.771929825,67.75518285,67.25949898,62.88610743,NA,73.23109557,68.13084867,67.38242014,NA,76.30101898,77.76677194,80.47372629,69.75552739,66.52392225,82.80830873,74.41134852,78.65286197,65.46782111,81.50297851,77.08398237,87.96092992,70,75,75,80,90,90,90,87.5,100,100,100,45,83.33333333,90,100,100,90,91.66666667,100,NA
N301117425204,F,Europe,ay1718,PSYCHOLOGY,71.53757387,60,73,86.875,75.73058202,78.8390196,80.08464862,81.66666667,78.57142857,60,4.561403509,75.48298781,83.24190999,78.62801859,87.16434586,81.61701288,89.67889185,82.61757986,71.0968569,76.30101898,85.29358161,NA,91.4744846,87.01227579,76.56166175,74.41134852,78.65286197,NA,74.89636688,77.08398237,82.85268088,90,100,100,45,90,80,90,66.66666667,91.66666667,100,90,65,100,85,100,83.33333333,90,83.33333333,87.5,NA
N302117424204,M,North America,ay1718,PHILOSOPHY,82.21033563,93,84,94.4761905,74.63925215,86.68999215,83.81026092,80,84.64285714,86.442953,0,83.21079277,75.25070449,94.36992974,87.16434586,98.38884752,75.31352973,82.61757986,NA,98.24487241,77.76677194,86.94036108,76.9951798,87.01227579,89.05495571,87.89681888,78.65286197,81.71730727,74.89636688,84.26527299,NA,80,100,100,100,100,90,90,91.66666667,91.66666667,100,90,100,100,100,92.85714286,91.66666667,80,100,91.66666667,NA
N305117418204,F,East Asia,ay1718,GLOBAL AFFAIRS,74.6751534,84,65,88.25,89.67315767,74.17791411,78.62152035,80,71.07142857,81.2720848,0.877192982,75.48298781,91.2331155,62.88610743,74.13835884,90.0029302,82.49621079,75,95.57148371,98.24487241,77.76677194,61.07382194,76.9951798,NA,76.56166175,81.1540837,78.65286197,87.13380266,NA,77.08398237,72.6361828,90,65,100,60,100,80,90,91.66666667,91.66666667,91.66666667,80,80,91.66666667,90,100,100,80,91.66666667,91.66666667,NA
N307117413204,F,Other,ay1718,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",72.32308502,68.5,61,90.7916667,69.90132152,74.06739085,76.70246025,73.33333333,60.71428571,80,7.01754386,67.75518285,67.25949898,86.49897416,80.65135235,NA,75.31352973,82.61757986,NA,68.98640117,92.82039129,74.00709151,69.75552739,73.35337343,82.80830873,81.1540837,78.65286197,81.71730727,81.50297851,69.90269176,77.74443184,75,100,100,70,100,100,90,70.83333333,91.66666667,91.66666667,80,100,100,90,100,100,90,66.66666667,100,NA
N308117412204,M,North America,ay1718,ECONOMICS,77.08777091,88.5,81,91.1845238,79.43303613,74.46682084,79.11929344,85,74.28571429,76.9032258,0,75.48298781,83.24190999,70.75706301,87.16434586,81.61701288,75.31352973,75,79.25506584,NA,70.23996226,80.47372629,91.4744846,73.35337343,89.05495571,81.1540837,84.88707974,81.71730727,81.50297851,84.26527299,NA,90,100,100,70,80,100,75,75,87.5,100,100,90,100,90,92.85714286,100,90,91.66666667,91.66666667,NA
N309117410204,M,Singapore,ay1718,LIFE SCIENCES,80.10688302,79,72,88.7916667,80.02188194,81.99330891,81.27917931,83.33333333,79.64285714,91.66666667,4.736842105,83.21079277,83.24190999,86.49897416,87.16434586,73.23109557,89.67889185,75,71.0968569,76.30101898,85.29358161,80.47372629,NA,87.01227579,89.05495571,NA,72.41864421,81.71730727,88.10959014,77.08398237,87.96092992,100,100,100,60,85,100,90,62.5,91.66666667,91.66666667,70,80,91.66666667,80,100,91.66666667,90,91.66666667,100,NA
N310117425204,F,Europe,ay1718,PHYSICAL SCIENCES,74.73807969,78.5,57.5,89.577381,77.67771327,78.73906021,74.13903284,76.66666667,73.92857143,80,5.964912281,83.21079277,75.25070449,70.75706301,NA,73.23109557,68.13084867,82.61757986,79.25506584,83.61563679,NA,74.00709151,69.75552739,66.52392225,76.56166175,74.41134852,66.18442644,76.30081188,81.50297851,77.08398237,67.52793375,90,90,100,70,100,90,80,91.66666667,79.16666667,100,90,70,83.33333333,80,85.71428571,100,100,91.66666667,100,NA
N311117424204,M,Southeast Asia,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",79.27507253,79,80,93.75,77.03377425,71.51661999,79.37699259,80,82.14285714,80,5.789473684,83.21079277,83.24190999,78.62801859,74.13835884,90.0029302,82.49621079,90.23515972,71.0968569,76.30101898,NA,NA,84.2348322,73.35337343,82.80830873,81.1540837,66.18442644,87.13380266,81.50297851,91.44656361,82.85268088,90,80,100,80,100,100,70,91.66666667,91.66666667,100,90,100,91.66666667,90,100,100,100,100,100,NA
N312117423204,M,South Asia,ay1718,PHYSICAL SCIENCES,82.58960111,96.5,80,95,77.65162971,79.47863144,82.91675277,80,70.71428571,80,6.842105263,83.21079277,75.25070449,NA,80.65135235,90.0029302,82.49621079,NA,87.41327477,76.30101898,77.76677194,86.94036108,84.2348322,87.01227579,82.80830873,81.1540837,84.88707974,87.13380266,88.10959014,77.08398237,87.96092992,90,100,100,60,85,100,90,83.33333333,100,100,100,100,91.66666667,100,100,100,100,100,100,NA
N313117421204,F,Europe,ay1718,GLOBAL AFFAIRS,79.37313166,87.5,82,91.1845238,93.99872626,73.15525713,80.31174973,85,74.28571429,86.1935484,0.350877193,75.48298781,91.2331155,70.75706301,80.65135235,64.84517825,75.31352973,82.61757986,71.0968569,90.9302546,85.29358161,86.94036108,NA,87.01227579,89.05495571,81.1540837,78.65286197,76.30081188,88.10959014,NA,87.96092992,90,100,100,70,80,100,75,75,87.5,100,100,90,100,90,92.85714286,100,90,91.66666667,91.66666667,NA
N315117414204,M,Other,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",59.7883052,67,47,88.0833333,56.79389611,46.69839041,72.49961835,81.66666667,73.57142857,51.2,0,75.48298781,75.25070449,70.75706301,67.62536533,90.0029302,60.94816761,NA,62.93864796,68.98640117,77.76677194,74.00709151,69.75552739,80.18282461,70.31501476,67.66861333,72.41864421,NA,68.28975524,77.08398237,87.96092992,90,85,91.66666667,60,85,90,80,66.66666667,87.5,100,90,90,91.66666667,90,100,100,85,79.16666667,100,NA
N316117413204,F,Singapore,ay1718,URBAN STUDIES,75.72872486,78.5,75,89.8333333,79.43303613,78.40151198,81.77911833,73.33333333,69.28571429,86.4,0.350877193,75.48298781,83.24190999,78.62801859,87.16434586,90.0029302,NA,75,71.0968569,76.30101898,85.29358161,86.94036108,91.4744846,87.01227579,82.80830873,NA,84.88707974,81.71730727,81.50297851,84.26527299,82.85268088,100,100,100,60,90,75,55,58.33333333,100,100,100,100,100,85,100,91.66666667,90,100,91.66666667,NA
N318117410204,F,East Asia,ay1718,NA,47.5721058,64.5,NA,85.7916667,33.56236238,9.491182619,61.72387732,73.33333333,69.28571429,66.15384615,0,83.21079277,67.25949898,78.62801859,48.0863848,81.61701288,82.49621079,52.14726042,71.0968569,76.30101898,NA,48.14055237,55.27622259,59.69447107,51.57507382,54.18314297,NA,54.63483034,55.07653198,48.35881991,57.31143567,80,90,83.33333333,70,100,90,100,45.83333333,91.66666667,79.16666667,80,50,83.33333333,85,100,100,100,100,87.5,NA
N319117408204,M,North America,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",70.68310708,74,68.5,89.8333333,72.15019106,71.84369341,76.52888554,73.33333333,69.28571429,75.23178807,0,67.75518285,75.25070449,86.49897416,80.65135235,64.84517825,75.31352973,67.38242014,71.0968569,68.98640117,85.29358161,80.47372629,76.9951798,87.01227579,76.56166175,74.41134852,78.65286197,NA,88.10959014,91.44656361,NA,100,100,100,60,90,75,55,58.33333333,100,100,100,100,100,85,100,91.66666667,90,100,91.66666667,NA
N320117424204,F,Other,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",59.05503051,21,50,95,75.18020784,47.63058567,73.11532979,80,70.71428571,80,0,75.48298781,75.25070449,NA,67.62536533,64.84517825,68.13084867,67.38242014,NA,76.30101898,62.71315258,74.00709151,76.9951798,73.35337343,70.31501476,81.1540837,78.65286197,87.13380266,74.89636688,77.08398237,82.85268088,90,100,100,60,85,100,90,83.33333333,100,100,100,100,91.66666667,100,100,100,100,100,100,NA
N321117423204,M,Southeast Asia,ay1718,"PHILOSOPHY, POLITICS AND ECONOMICS",63.84328887,57,57,88.0178571,70.85521957,55.59259711,70.18053895,80,58.21428571,80,0,67.75518285,67.25949898,70.75706301,74.13835884,73.23109557,75.31352973,67.38242014,79.25506584,68.98640117,70.23996226,61.07382194,69.75552739,66.52392225,NA,67.66861333,72.41864421,NA,61.68314361,77.08398237,82.85268088,85,90,91.66666667,80,90,100,90,87.5,83.33333333,91.66666667,80,60,100,90,92.85714286,83.33333333,90,75,100,NA
N322117421204,F,South Asia,ay1718,PHYSICAL SCIENCES,66.3143382,61.5,55,88.4345238,69.90132152,66.60651762,72.24253194,83.33333333,58.57142857,71.66666667,3.684210526,67.75518285,75.25070449,78.62801859,74.13835884,64.84517825,68.13084867,82.61757986,79.25506584,68.98640117,70.23996226,74.00709151,69.75552739,73.35337343,NA,74.41134852,84.88707974,NA,61.68314361,77.08398237,67.52793375,90,100,100,85,90,100,70,66.66666667,87.5,100,80,60,91.66666667,80,92.85714286,100,100,83.33333333,91.66666667,NA
